amino,atom,cluster,dist,angle,dihed,prob
ASP,OD2,N1,2.73987165077858,34.7391560478751,43.7399856588944,0.233745825237821
ASP,OD2,N1,2.41106359764136,32.4329166438528,-100.426460518332,0.139029653321545
ASP,OD2,N2,3.02244407380811,58.3201614833065,64.8439874362732,0.492031009724728
ASP,OD2,N2,2.7932407904289,32.072274042291,147.226696014838,0.156912921884738
ASP,OD2,N2,2.55450240496453,49.7736426044883,-19.9960575157787,0.196185012954546
ASP,OD2,N2,3.07383813266555,70.8065670558743,133.117471049262,0.154871055435985
ASP,OD2,N3,3.23515892098001,78.4931015304404,79.0897765172151,0.199705118947766
ASP,OD2,N3,2.65318336349891,58.7513145714543,73.9848982563311,0.234686590849681
ASP,OD2,N3,3.04967155700429,59.8608507706298,69.4453737122315,0.349994314082464
ASP,OD2,N3,2.94158160854261,50.2859843429423,87.1533721938187,0.215613976120089
ASP,O,N1,3.19128937230908,149.866329027872,112.790258327668,1
ASP,O,N2,2.938809531995,129.506469142973,134.337740950196,0.458581987410076
ASP,O,N2,2.74218587113454,120.392590969707,-143.971885184942,0.371336120217482
ASP,O,N2,2.56846458356799,111.505414675873,-164.5327505425,0.170081892372443
ASP,O,N3,2.73208509097413,119.676667565606,-148.474168669355,0.648294751569935
ASP,O,N3,2.74854807641781,117.811986400594,152.031097175046,0.131584469243522
ASP,O,N3,2.63525041439674,114.812155049709,-163.658004862058,0.220120779186543
ASN,CB,N1,0.849221893491122,65.6915917159765,98.2374526627219,1
ASN,CB,N2,0.907533161708804,70.4265852230277,84.7965722840589,0.548864221129764
ASN,CB,N2,1.12898011694094,88.0061667256851,100.045992542973,0.451135778870237
ASN,CB,N3,1.17158498964711,90.6437531323053,103.484931993771,0.580736673207399
ASN,CB,N3,1.22829793777578,91.4278526040076,72.3135095667327,0.232968253975016
ASN,CB,N3,0.991003595300506,78.9574440392749,93.1052487323365,0.186295072817585
ASN,C,N1,2.2608651026393,146.795703812317,137.278947214077,1
ASN,C,N2,2.20181461908462,143.193777690914,161.012944664753,0.504691932785335
ASN,C,N2,2.16692909033107,141.098023289338,-166.039253839618,0.495308067214665
ASN,C,N3,2.1972279314251,142.815390739833,-166.14421135773,0.738693467336683
ASN,C,N3,2.23347323588806,142.44038794485,161.012443894309,0.261306532663317
ASN,CG,N1,1.71526202900355,38.4101333975899,-102.838287334658,0.11499184735467
ASN,CG,N1,2.31133018485153,87.9380707197325,94.1690511855853,0.320416243666439
ASN,CG,N1,1.64356404110031,32.6979596026094,12.9939874641352,0.363105927755365
ASN,CG,N1,1.74213343370851,44.9129403771396,161.704179913684,0.201485981223524
ASN,CG,N2,1.76444895846056,47.4176303970748,151.83150523039,0.285927844462581
ASN,CG,N2,1.63188395645172,28.4399635891658,-30.1353219568708,0.115456257747597
ASN,CG,N2,1.82832840506654,54.6495346173285,39.7559454264262,0.437415229862819
ASN,CG,N2,2.25615998062006,84.2740811002045,78.1845989514697,0.161200667927001
ASN,CG,N3,1.82731741829786,53.6858765104255,140.597698556547,0.191113169929294
ASN,CG,N3,1.70739117688469,40.5874481549326,82.3699339064824,0.152615744421321
ASN,CG,N3,1.85206746340803,56.7030258422544,57.0248249570175,0.395983168267095
ASN,CG,N3,1.90174803590579,60.7742309775206,27.5250518183254,0.140945483883748
ASN,CG,N3,2.49829047243568,96.056810166242,96.7512257972278,0.119342433498541
ASN,HD21,N1,3.27615755497126,56.7720399167993,34.7762523786783,0.709403702676949
ASN,HD21,N1,4.02191486213674,80.530667572212,85.0210703246016,0.290596297323051
ASN,HD21,N2,3.02062612274357,56.6712733285198,-35.7626494760239,0.213024119757674
ASN,HD21,N2,3.56555764122175,56.5798221578291,98.3066195618944,0.480009245185639
ASN,HD21,N2,3.67506832067187,48.9616502785432,43.269910397164,0.306966635056686
ASN,HD21,N3,3.2879679716852,58.9086587483995,67.3020952094076,0.54052324045841
ASN,HD21,N3,3.69474819221577,50.1494132087661,62.3383954122159,0.45947675954159
ASN,HD22,N1,3.19903803068775,57.8463750538694,77.1239595339694,0.249036712524941
ASN,HD22,N1,3.84420251609982,72.1040004631122,62.8519685641556,0.303757644522684
ASN,HD22,N1,2.33250000074611,54.0324999342068,-123.876249819003,0.10126582293742
ASN,HD22,N1,3.10120810501701,56.4196696585701,82.4296952881142,0.345939820014955
ASN,HD22,N2,3.34788793406654,74.9619304145244,46.6114506074293,0.18771051363729
ASN,HD22,N2,3.08732894804512,35.6910022060463,97.3217364034558,0.174545975858799
ASN,HD22,N2,3.17252746039416,52.4868079974392,22.4044546018538,0.350014936861091
ASN,HD22,N2,3.38954857772149,66.3769317884219,88.085738878193,0.28772857364282
ASN,HD22,N3,3.13751067457529,49.0960772739112,54.5432490216786,0.466766109539822
ASN,HD22,N3,3.39947183790168,65.698014923923,84.0839676536305,0.533233890460178
ASN,H,N1,2.62941157161668,131.370366402749,31.676417522786,0.227848113352962
ASN,H,N1,2.55278974898065,136.110150845448,38.8656329954375,0.772151886647038
ASN,H,N2,2.74087497484669,138.168334740923,33.5312877373946,0.136825841272283
ASN,H,N2,2.69202462478489,144.169669525183,49.241254272968,0.26568764942449
ASN,H,N2,2.57093336068659,136.307172237426,43.0405908961365,0.298694295019125
ASN,H,N2,2.33872144991429,123.671255361147,30.7824670225878,0.174942501507392
ASN,H,N2,2.5448217979001,135.070603984177,-40.2683036622266,0.12384971277671
ASN,H,N3,2.61369184357517,133.610701657432,-5.68844374835106,0.32531076015516
ASN,H,N3,2.57232398070216,136.201645716586,42.4156099448475,0.67468923984484
ASN,ND2,N1,3.2915973467823,73.0493652824648,90.8208025972144,0.153517348864839
ASN,ND2,N1,2.37845758777919,37.9826686914993,-85.4846968139079,0.214036701186003
ASN,ND2,N1,2.76885175823842,42.2521242952589,37.3991074223248,0.269825556585358
ASN,ND2,N1,2.83507664652854,30.0874638407245,145.943132410094,0.116187082148619
ASN,ND2,N1,3.04088483440409,73.0345996541902,104.119617199509,0.24643331121518
ASN,ND2,N2,3.08706249657322,59.5447933294162,65.2820078277677,0.357922527708262
ASN,ND2,N2,2.79721245988318,68.6171419488468,33.3622276305284,0.203627079274981
ASN,ND2,N2,2.90618199753147,45.9516514309448,141.442245807286,0.218766501222577
ASN,ND2,N2,2.38649406025405,35.4442864627102,-35.3703551934376,0.219683891794181
ASN,ND2,N3,2.51926789438533,52.1476072868884,47.8578700568211,0.352920272285099
ASN,ND2,N3,3.19117324454543,72.4656032280962,72.6648809386373,0.254062104928028
ASN,ND2,N3,3.04828824138195,54.9225391370852,77.9793510911194,0.393017622786874
ASN,N,N1,2.09765395894429,141.269208211144,13.7247419354839,1
ASN,N,N2,2.21512551731547,148.308989421108,-9.39205623233836,0.155897458299979
ASN,N,N2,2.19412730976883,147.35954093094,17.5621122110841,0.844102541700016
ASN,N,N3,2.24603084289089,148.784155139174,-12.3724065940656,0.246485737073419
ASN,N,N3,2.2268442372844,149.271124821318,18.6572067891934,0.75351426292658
ASN,OD1,N1,2.3825446215671,47.5590072008884,3.90755342735811,0.573580307591975
ASN,OD1,N1,3.06147302492636,104.749561242088,99.1451266638352,0.284453379694103
ASN,OD1,N1,2.24427745624713,62.7852853638395,-158.0243650269,0.141966312713923
ASN,OD1,N2,2.16545850540638,55.2612802048021,1.27277344214667,0.271417582609424
ASN,OD1,N2,2.22011633985882,61.7265811322041,-162.781957532675,0.124145780883014
ASN,OD1,N2,2.82018538725248,71.3911838116847,103.6329479918,0.373593421380337
ASN,OD1,N2,2.21644725113628,37.5130129520919,-51.1296810011554,0.23084321512722
ASN,OD1,N3,2.57526487569435,58.4339900409672,40.2689989544599,0.640747461896123
ASN,OD1,N3,2.12000231583589,50.9267087863583,6.20538727663772,0.359252538103878
ASN,O,N1,3.16413772807534,147.525885815186,112.010927015892,1
ASN,O,N2,2.8375275089467,126.100593753723,139.176257417834,0.50156831278722
ASN,O,N2,2.66729706626986,116.600917261432,-152.537732599893,0.49843168721278
ASN,O,N3,2.72970297891239,119.644736499189,-148.753661090433,0.576322503847597
ASN,O,N3,2.75840048612196,118.474180569427,148.265034092978,0.257115749525616
ASN,O,N3,2.61467538112368,113.705300260103,-167.232788379076,0.166561746626789
GLU,CB,N1,0.830184467810367,63.0753052942261,96.5911916620547,1
GLU,CB,N2,1.19522120640687,92.0040146640038,105.285494314935,0.407101630004312
GLU,CB,N2,1.14308614983892,88.6378796746379,100.544879328196,0.297110328324578
GLU,CB,N2,0.861724841561293,66.8201637424724,92.4910776982008,0.295788041671109
GLU,CB,N3,1.16456953642382,89.7230393123858,101.346609835142,1
GLU,C,N1,2.26624436022377,146.356859772604,145.73978704205,1
GLU,C,N2,2.159954924642,140.674505524489,-166.542445510178,0.225893754204131
GLU,C,N2,2.19919465560186,142.890636718446,-161.909974476652,0.504193252477597
